Sorted list of BTC addresses
BTC address;Amount (Satoshi)
129pfXYk2NNxXC222tJf5rep3j4LWoi2xt;0
129oEkFkEh2ko7Ljh29pRKuZuFQkDaZbeH;0
129nZgH8YgWHuFgoAnFD1utaTdYF6hfNxF;0
113Fdc2sKmJLBXrgQHtVRiCUhdNW21gZGk;0
129nr1dUXwueJgpV3nzYWCDxtUTVnKiVLU;0
129N9q7LEKvBNUsjh6S9J2GL4cgfLwsFsn;0
129MXpUa479iT1RHoHGTy2EDcvYyYy5xNk;0
129MgAudPmn841Zir9FmQS7QU8Z48pFVxj;0
129M35ZdCr43Zn8TN7kv6ttkTEjuvkh2Zg;0
129LZ2bSPLsMKFL3rg4wsofw2ovy2VcBmv;0
129KV3b1s1WRUvDfFbG9Hhtjoo8FHzYihz;0
129KrTGrGaC3Jr71dVatUAbPApJu2yq31f;0
129Ko2zhfb4PQzGEsfo49P7iaoUkQe3cZa;0
129juNVVonMnSzA93QRmVg8HoyAjovBVW3;0
113f5P3kAECLiTExvrXHP9UZWi5WQcWR1K;0
129jK9zETqJc21Vj6xGvHe7aMvuZWFea4x;0
129ie5TDmXdRC7cZXTXKZjWLwseXEKTgQ7;0
129HZNEFuP4jnWYtUd8kj4GiZiFos3oawq;0
129g38cW19QoSaaWRDtUkFyFTLaPVYR9S3;0
129fCjaneP8FTD5BgwBVHcSR526gdzw1LQ;0
129ex7Vcjcb1mv3bAMqrCgKFY4nsesdRYM;0
129Ex5QEeQANJ6y5Fe8eL2xTKY3whvrDa9;0
129eWHMG8A7sJJV4z9JAGtZVnPnZxBy9jX;0
129eSGBk9XswbMbFW48txXL8VDwu585FKn;0
129eKTUrZ3gM8hLNyNs1jg7RHy8TaFRW9H;0
113eWbwP7KQAvHZ3K5RtDzpwSEXFsx9Kt9;0
129D8MoWFE19J8YERgRV2dsNULB65PG8DQ;0
129co1fJBX9ve3BLYgi7DWcJLHcZkuEJoY;0
129bZQmKdotsRuXtgdB1tBtsPLyADd3n7X;0
129bWuUXC36pcxuChjgqF81z9ATXcSTTqp;0
129bPkLRKYTgJNuxWELgVnj2jQfRP3rg9a;0
129bCdbr5UsPW8ZWCWZnd2pV7BtxA3JrVw;0
129bccpsCVkvjKUE87dtXTwDhwa37uiWyh;0
129b8LpFxamMQLjp6eZRmZRGrCFHKuzHTC;0
129a13jPJe3TPB1CLvCoBLuSoNo57Sjd7L;0
1299s1rFQYosK3cbdMVXiyR1p7KG2g48Th;0
113EHWX5hS1su1E5rVji8dHYVVQGyXkQFL;0
1299aaCp8echZpWBrvh3CSsR71Tgqy9jGi;0
12995eVEvVYdtFhbW6Az25qftvYVJJ3PFu;0
1298VmAboPPiJzA4vu57wGWkpc9S9BuDNJ;0
1298oQNJKg6ukbp16TpubyBMT6JRAwCfg1;0
1298dS1A25FBSYcQaFTMnhnQLzjb1QBQzb;0
12988sHLsMgqRG7eD4AeJbm22WBu7z5idi;0
1295txwZHYVKjsBUpgRd62VGWKCELPPSxY;0
1293iCgnMVvJsdhUyvhbdmQjBtsYNqXtd4;0
1293hWxaP8mSqG3fzZjvXJsGgamZvLRhzL;0
1291LZf1oASHhCiMJXmvZErYXX1c2nCCBJ;0
113EG141NJQ6TDsMYFryMTL7G5A9QWfgyF;0
12916FNRjPSn43hbnaYMePTN6LBzgHNcd3;0
128ZkxEKe57swEiPLyTKbfvtCE8DeGy7SC;0
